         31553995 function calls (31400672 primitive calls) in 37.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    44/43    0.028    0.001    0.030    0.001 {built-in method _imp.create_dynamic}
  631/626    0.012    0.000    0.030    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.030    0.030 __init__.py:13(<module>)
    52589    0.028    0.000    0.028    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.027    0.027 graph.py:14(<module>)
        1    0.000    0.000    0.026    0.026 request.py:68(<module>)
        2    0.000    0.000    0.025    0.013 __init__.py:10(<module>)
      570    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.024    0.024 basic.py:5(<module>)
    53007    0.023    0.000    0.024    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.023    0.023 orthogonal.py:72(<module>)
        1    0.000    0.000    0.022    0.022 __init__.py:184(<module>)
        1    0.000    0.000    0.022    0.022 edge.py:3(<module>)
        3    0.000    0.000    0.022    0.007 utils.py:404(find_cairo)
        1    0.000    0.000    0.020    0.020 client.py:69(<module>)
        1    0.000    0.000    0.020    0.020 configuration.py:9(<module>)
      166    0.001    0.000    0.018    0.000 re.py:271(_compile)
       52    0.000    0.000    0.017    0.000 re.py:232(compile)
       55    0.000    0.000    0.017    0.000 sre_compile.py:759(compile)
    58921    0.016    0.000    0.016    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.015    0.008 __init__.py:7(<module>)
        2    0.000    0.000    0.015    0.007 __init__.py:45(<module>)
    24828    0.014    0.000    0.014    0.000 {method 'update' of 'dict' objects}
      257    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.013    0.013 multiarray.py:7(<module>)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
    74268    0.011    0.000    0.011    0.000 copy.py:190(_deepcopy_atomic)
        1    0.000    0.000    0.011    0.011 parser.py:5(<module>)
     1258    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
    25043    0.011    0.000    0.011    0.000 {built-in method __new__ of type object at 0x1025b6040}
        1    0.000    0.000    0.011    0.011 feedparser.py:20(<module>)
       55    0.000    0.000    0.011    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.010    0.010 misc.py:1(<module>)
     1261    0.010    0.000    0.010    0.000 {built-in method posix.stat}
    30090    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
   160/57    0.001    0.000    0.010    0.000 sre_parse.py:417(_parse_sub)
   182/63    0.003    0.000    0.010    0.000 sre_parse.py:475(_parse)
        1    0.000    0.000    0.009    0.009 __init__.py:25(dlopen)
        1    0.009    0.009    0.009    0.009 {method 'dlopen' of 'CompiledFFI' objects}
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
        1    0.000    0.000    0.009    0.009 lapack.py:544(<module>)
        1    0.000    0.000    0.009    0.009 _policybase.py:4(<module>)
        1    0.000    0.000    0.008    0.008 configuration.py:61(Configuration)
        1    0.000    0.000    0.008    0.008 configuration.py:36(get_platform_image_viewer)
        1    0.000    0.000    0.008    0.008 platform.py:1061(system)
        1    0.000    0.000    0.008    0.008 platform.py:923(uname)
        1    0.000    0.000    0.008    0.008 platform.py:780(_syscmd_uname)
    44/41    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    44/41    0.005    0.000    0.008    0.000 {built-in method _imp.exec_dynamic}
       25    0.001    0.000    0.008    0.000 myclass.py:28(__mutational_neighborhood__)
    24969    0.008    0.000    0.008    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.007    0.007 platform.py:10(<module>)
        1    0.000    0.000    0.007    0.007 _util.py:1(<module>)
        1    0.000    0.000    0.007    0.007 nklandscape.py:1(<module>)
      306    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.007    0.007 nexus.py:74(__init__)
        1    0.000    0.000    0.007    0.007 request.py:575(build_opener)
        2    0.000    0.000    0.006    0.003 __init__.py:15(<module>)
        1    0.000    0.000    0.006    0.006 random.py:38(<module>)
     2971    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.006    0.006 npyio.py:1(<module>)
        1    0.000    0.000    0.006    0.006 request.py:797(__init__)
       55    0.000    0.000    0.006    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.006    0.006 request.py:2612(getproxies)
        1    0.000    0.000    0.006    0.006 request.py:2589(getproxies_macosx_sysconf)
        1    0.006    0.006    0.006    0.006 {built-in method _scproxy._get_proxies}
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
       13    0.000    0.000    0.005    0.000 enum.py:630(_convert)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
      257    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
        2    0.005    0.002    0.005    0.002 {method 'read' of '_io.TextIOWrapper' objects}
      674    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.005    0.005 _internal.py:6(<module>)
        1    0.000    0.000    0.005    0.005 _datasource.py:35(<module>)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:57(<module>)
   311/55    0.002    0.000    0.004    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.004    0.004 __init__.py:3(<module>)
      512    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
       17    0.002    0.000    0.004    0.000 enum.py:134(__new__)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
      127    0.000    0.000    0.004    0.000 enum.py:283(__call__)
      431    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      397    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.004    0.004 shutil.py:5(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 functools_lru_cache.py:1(<module>)
       13    0.000    0.000    0.004    0.000 enum.py:388(_create_)
       25    0.002    0.000    0.004    0.000 __init__.py:316(namedtuple)
      556    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:403(cached)
        2    0.000    0.000    0.004    0.002 util.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:54(<module>)
      326    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      181    0.000    0.000    0.003    0.000 myclass.py:15(__fitness__)
        1    0.000    0.000    0.003    0.003 __init__.py:86(<module>)
      181    0.002    0.000    0.003    0.000 nklandscape.py:17(fitness)
      300    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.003    0.003 configparser.py:139(<module>)
     2971    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
