         31553995 function calls (31400672 primitive calls) in 37.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:375(BasicInterpolation)
      570    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
        1    0.000    0.000    0.000    0.000 utils.py:6(<module>)
       19    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 population.py:43(create_population)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
      829    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:359(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       10    0.000    0.000    0.000    0.000 utils.py:75(__call__)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
      702    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.000    0.000 shapes.py:17(<module>)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       78    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
      190    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    71/51    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        4    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        2    0.000    0.000    0.000    0.000 configparser.py:1314(__init__)
      103    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      338    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       26    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       32    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:521(LegacyInterpolation)
      304    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       50    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 utils.py:3(<module>)
       47    0.000    0.000    0.000    0.000 enum.py:441(_get_mixins_)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:985(wait)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
       55    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      205    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
       18    0.000    0.000    0.000    0.000 configuration.py:363(__setitem__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1592(_wait)
       61    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       17    0.000    0.000    0.000    0.000 enum.py:473(_find_new_)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
      326    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        2    0.000    0.000    0.000    0.000 enum.py:827(__or__)
       21    0.000    0.000    0.000    0.000 colors.py:413(color_name_to_rgba)
        1    0.000    0.000    0.000    0.000 datatypes.py:3(<module>)
      315    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 configparser.py:1304(ConverterMapping)
        1    0.000    0.000    0.000    0.000 configparser.py:447(ExtendedInterpolation)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       10    0.000    0.000    0.000    0.000 extras.py:238(__init__)
        1    0.000    0.000    0.000    0.000 metamagic.py:61(<module>)
        4    0.000    0.000    0.000    0.000 re.py:185(sub)
        4    0.000    0.000    0.000    0.000 getlimits.py:365(__new__)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6265(__new__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1185(read_text)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 __init__.py:3901(_add_proxy_methods)
       89    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      249    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
        2    0.000    0.000    0.000    0.000 enum.py:790(_missing_)
       10    0.000    0.000    0.000    0.000 extras.py:242(getdoc)
        5    0.000    0.000    0.000    0.000 colors.py:251(<listcomp>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      220    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:72(find_library)
      381    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      221    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        2    0.000    0.000    0.000    0.000 enum.py:797(_create_pseudo_member_)
      218    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 patterns.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dyld.py:116(dyld_find)
      219    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      945    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:68(Graph)
        1    0.000    0.000    0.000    0.000 __init__.py:660(<listcomp>)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        9    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
       19    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       10    0.000    0.000    0.000    0.000 configparser.py:1200(add_section)
      269    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       40    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        2    0.000    0.000    0.000    0.000 getlimits.py:398(_init)
       90    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:445(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:5(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:869(_decompose)
        1    0.000    0.000    0.000    0.000 decomp.py:15(<module>)
        1    0.000    0.000    0.000    0.000 decomp_svd.py:1(<module>)
       47    0.000    0.000    0.000    0.000 enum.py:452(_find_data_type)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 pathlib.py:1167(open)
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
       55    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      317    0.000    0.000    0.000    0.000 overrides.py:111(array_function_dispatch)
        4    0.000    0.000    0.000    0.000 numeric.py:3083(extend_all)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8007(__init__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
       99    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      317    0.000    0.000    0.000    0.000 overrides.py:146(decorator)
        1    0.000    0.000    0.000    0.000 pathlib.py:991(__new__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        3    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       18    0.000    0.000    0.000    0.000 configparser.py:1194(set)
       12    0.000    0.000    0.000    0.000 configparser.py:1237(__init__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
      282    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_legacy_get_spec)
      249    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       54    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
        1    0.000    0.000    0.000    0.000 context.py:10(<module>)
        9    0.000    0.000    0.000    0.000 abc.py:130(register)
        2    0.000    0.000    0.000    0.000 random.py:97(seed)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
       29    0.000    0.000    0.000    0.000 __init__.py:3864(_graphmethod)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 chebyshev.py:89(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:60(<module>)
       10    0.000    0.000    0.000    0.000 configparser.py:648(add_section)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
      264    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        8    0.000    0.000    0.000    0.000 core.py:8012(getdoc)
      532    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:22(<module>)
       64    0.000    0.000    0.000    0.000 {method 'rand' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:144(__init__)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 laguerre.py:60(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
        2    0.000    0.000    0.000    0.000 pathlib.py:624(_parse_args)
        1    0.000    0.000    0.000    0.000 pathlib.py:644(_from_parts)
        1    0.000    0.000    0.000    0.000 text.py:5(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
      181    0.000    0.000    0.000    0.000 {method 'vcount' of 'igraph.Graph' objects}
        1    0.000    0.000    0.000    0.000 hermite_e.py:60(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        2    0.000    0.000    0.000    0.000 re.py:180(search)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 vertex.py:6(<module>)
        1    0.000    0.000    0.000    0.000 random.py:88(__init__)
        6    0.000    0.000    0.000    0.000 core.py:1144(__init__)
      332    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 clustering.py:1032(Cover)
      322    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 threading.py:739(Thread)
        1    0.000    0.000    0.000    0.000 core.py:2710(MaskedArray)
     22/9    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       67    0.000    0.000    0.000    0.000 os.py:751(encode)
        1    0.000    0.000    0.000    0.000 metamagic.py:155(__new__)
        1    0.000    0.000    0.000    0.000 texttable.py:68(<module>)
      420    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       57    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x102a12400}
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      197    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:536(_code_to_timestamp_pyc)
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
     22/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       18    0.000    0.000    0.000    0.000 configparser.py:889(set)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
      517    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      146    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      306    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:40(_get_exports_list)
        1    0.000    0.000    0.000    0.000 core.py:2775(__new__)
        1    0.000    0.000    0.000    0.000 statistics.py:5(<module>)
       55    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 _testutils.py:4(<module>)
      110    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        3    0.000    0.000    0.000    0.000 __init__.py:481(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       93    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 threading.py:1166(__init__)
        9    0.000    0.000    0.000    0.000 colors.py:51(__init__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 pathlib.py:53(parse_parts)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 request.py:1499(FTPHandler)
        3    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      102    0.000    0.000    0.000    0.000 os.py:755(decode)
       47    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 matrix.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:495(AddressList)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.000    0.000 shapes.py:418(register_namespace)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        8    0.000    0.000    0.000    0.000 configuration.py:180(setboolean)
      120    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
       69    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
        2    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      114    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        2    0.000    0.000    0.000    0.000 enum.py:887(<listcomp>)
        3    0.000    0.000    0.000    0.000 colors.py:202(__init__)
      120    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 cut.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       12    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
       50    0.000    0.000    0.000    0.000 os.py:696(__iter__)
        1    0.000    0.000    0.000    0.000 core.py:6283(__array_finalize__)
        4    0.000    0.000    0.000    0.000 ssl.py:356(__new__)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
      120    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      120    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:210(<listcomp>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:334(__getattr__)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:6(<module>)
       58    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        2    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
        1    0.000    0.000    0.000    0.000 case.py:351(TestCase)
       17    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
       26    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
      105    0.000    0.000    0.000    0.000 colors.py:520(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
      120    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 format.py:156(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:493(StringConverter)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.000    0.000 inspect.py:2407(_ParameterKind)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
      371    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
      111    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 pathlib.py:109(_WindowsFlavour)
       17    0.000    0.000    0.000    0.000 enum.py:63(__init__)
        4    0.000    0.000    0.000    0.000 ufunclike.py:16(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
       74    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
        6    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 myclass.py:9(nkclass)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        3    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
      120    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      166    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:515(<lambda>)
        2    0.000    0.000    0.000    0.000 arrayprint.py:460(decorating_function)
        3    0.000    0.000    0.000    0.000 dyld.py:94(dyld_default_search)
        1    0.000    0.000    0.000    0.000 matching.py:3(<module>)
      304    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:1021(_Unpickler)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
        1    0.000    0.000    0.000    0.000 utils.py:15(Rectangle)
        1    0.000    0.000    0.000    0.000 metamagic.py:183(record_generator)
        1    0.000    0.000    0.000    0.000 constants.py:4(<module>)
        2    0.000    0.000    0.000    0.000 os.py:687(__delitem__)
        3    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      134    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
       77    0.000    0.000    0.000    0.000 overrides.py:104(decorator)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1028(_opener)
       28    0.000    0.000    0.000    0.000 configparser.py:1163(_validate_value_types)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:2136(timezone)
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        2    0.000    0.000    0.000    0.000 pathlib.py:281(splitroot)
        1    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
       19    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 {built-in method posix.close}
        2    0.000    0.000    0.000    0.000 os.py:681(__setitem__)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 configuration.py:446(get_user_config_file)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
      102    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      134    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 os.py:1000(__init__)
        2    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        2    0.000    0.000    0.000    0.000 core.py:6448(__init__)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
       18    0.000    0.000    0.000    0.000 configparser.py:397(before_set)
        1    0.000    0.000    0.000    0.000 subprocess.py:1526(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 context.py:86(Context)
        1    0.000    0.000    0.000    0.000 _decomp_ldl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        2    0.000    0.000    0.000    0.000 functools.py:476(decorating_function)
        7    0.000    0.000    0.000    0.000 sre_parse.py:843(_parse_flags)
        1    0.000    0.000    0.000    0.000 polynomial.py:1614(Polynomial)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_qz.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       11    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 threading.py:758(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
        1    0.000    0.000    0.000    0.000 _dtype.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:29(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 subprocess.py:1579(_try_wait)
      108    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       23    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 __init__.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 argparse.py:152(HelpFormatter)
        1    0.000    0.000    0.000    0.000 argparse.py:1067(_SubParsersAction)
       14    0.000    0.000    0.000    0.000 __init__.py:3941(_layout_method_wrapper)
        1    0.000    0.000    0.000    0.000 subprocess.py:1329(_get_handles)
        1    0.000    0.000    0.000    0.000 decomp_lu.py:1(<module>)
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      133    0.000    0.000    0.000    0.000 enum.py:656(<lambda>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:813(__init__)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       38    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:175(ones)
        5    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        1    0.000    0.000    0.000    0.000 configuration.py:401(load)
        1    0.000    0.000    0.000    0.000 ssl.py:372(Purpose)
      205    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       63    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 threading.py:513(set)
       77    0.000    0.000    0.000    0.000 overrides.py:93(set_module)
        3    0.000    0.000    0.000    0.000 colors.py:582(hsva_to_rgba)
        1    0.000    0.000    0.000    0.000 fonts.py:369(FontOptions)
       92    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       43    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.000    0.000 os.py:1016(__getattr__)
        1    0.000    0.000    0.000    0.000 myclass.py:12(__init__)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:95(_add_types)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
        4    0.000    0.000    0.000    0.000 __init__.py:489(cast)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
